bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
KAJ Roach,2,80,52,4,3,1,48,40.0,0,,,,,,8,10.0,0,0
KC Cariappa,11,349,224,8,6,2,216,31.727272727272727,8,1.0,1.0,3.0,2.0,1.0,36,9.694444444444445,0,0
KH Pandya,93,2066,1725,53,50,3,1672,22.21505376344086,61,7.0,7.0,37.0,4.0,6.0,282,7.326241134751773,5,0
KJ Abbott,5,182,102,6,5,1,96,36.4,2,1.0,0.0,1.0,0.0,0.0,16,11.375,0,0
KK Ahmed,34,1116,809,31,29,2,778,32.8235294117647,49,4.0,1.0,43.0,0.0,1.0,131,8.51908396946565,1,0
KK Cooper,25,789,600,24,23,1,576,31.56,33,10.0,2.0,20.0,0.0,1.0,96,8.21875,1,0
KL Nagarkoti,11,287,185,5,5,0,180,26.09090909090909,5,0.0,0.0,5.0,0.0,0.0,30,9.566666666666666,0,0
KM Asif,3,93,52,3,2,1,49,31.0,4,0.0,0.0,4.0,0.0,0.0,9,10.333333333333334,0,0
KMA Paul,8,239,180,17,12,5,163,29.875,9,0.0,0.0,9.0,0.0,0.0,28,8.535714285714286,1,0
KMDN Kulasekara,5,122,107,5,5,0,102,24.4,5,1.0,0.0,3.0,0.0,1.0,17,7.176470588235294,1,0
KP Appanna,13,291,222,6,6,0,216,22.384615384615383,9,1.0,1.0,5.0,2.0,0.0,36,8.083333333333334,0,0
KP Pietersen,13,218,180,6,6,0,174,16.76923076923077,7,1.0,1.0,5.0,0.0,0.0,29,7.517241379310345,3,0
KR Sen,7,240,157,6,6,0,151,34.285714285714285,8,2.0,0.0,5.0,0.0,1.0,28,8.571428571428571,0,0
KS Williamson,2,31,18,0,0,0,18,15.5,0,,,,,,3,10.333333333333334,6,0
KV Sharma,66,1645,1239,17,17,0,1222,24.924242424242426,60,5.0,6.0,41.0,5.0,3.0,206,7.985436893203883,1,0
KW Richardson,15,479,345,10,10,0,335,31.933333333333334,20,2.0,1.0,15.0,0.0,2.0,56,8.553571428571429,0,0
